_id,userId,chatty_score,safety_score,punctuality_score,friendliness_score,comfortibility_score,variance_dict,UTT,max_variance,giving_feedback_classifier,giving_feedback_classifier_int,time_stamp
5da52c2cf528678ac264898b,5d9426daa9cf770a818dc671,3,3,2,5,2,"{'chatty_score': 0.1, 'safety_score': 4.5, 'punctuality_score': 0, 'friendliness_score': 4.5, 'comfortibility_score': 0.5}",10,4.5,safety_score,2,17:16.6
5da52c33f528678ac2648997,5d9425bba9cf770a818bebfd,2,2,4,2,2,"{'chatty_score': 0.1, 'safety_score': 0, 'punctuality_score': 2, 'friendliness_score': 0, 'comfortibility_score': 0}",30,2,punctuality_score,3,17:23.0
5da52c33f528678ac2648998,5d942637a9cf770a818cb08e,2,4,5,1,2,"{'chatty_score': 0.1, 'safety_score': 0, 'punctuality_score': 4.5, 'friendliness_score': 2, 'comfortibility_score': 12.5}",30,12.5,comfortibility_score,5,17:23.2
5da52c33f528678ac2648999,5d9426a1a9cf770a818d64d6,4,5,5,1,4,"{'chatty_score': 2.07, 'safety_score': 1.19, 'punctuality_score': 2.13, 'friendliness_score': 4.44, 'comfortibility_score': 0.86}",15,4.44,friendliness_score,4,17:23.4
5da52c58f528678ac26489ab,5d9425f7a9cf770a818c4959,1,4,4,5,4,"{'chatty_score': 8.33, 'safety_score': 3, 'punctuality_score': 0.1, 'friendliness_score': 1.33, 'comfortibility_score': 0}",30,8.33,chatty_score,1,18:00.5
5da52c58f528678ac26489ac,5d942622a9cf770a818c8df1,3,1,1,4,1,"{'chatty_score': 0.1, 'safety_score': 3, 'punctuality_score': 8.33, 'friendliness_score': 8.33, 'comfortibility_score': 1.33}",10,8.33,punctuality_score,3,18:00.7
5da52c58f528678ac26489ad,5d942616a9cf770a818c7a97,2,1,3,5,5,"{'chatty_score': 5.33, 'safety_score': 5.33, 'punctuality_score': 6.33, 'friendliness_score': 5.33, 'comfortibility_score': 1.33}",30,6.33,punctuality_score,3,18:00.9
5da52c59f528678ac26489ae,5d9426aaa9cf770a818d73c1,3,2,4,5,1,"{'chatty_score': 1.79, 'safety_score': 0.63, 'punctuality_score': 3.9, 'friendliness_score': 1.11, 'comfortibility_score': 4.15}",10,4.15,comfortibility_score,5,18:01.1
5da52c7bf528678ac26489c1,5d94262ea9cf770a818ca129,4,2,3,4,4,"{'chatty_score': 0.1, 'safety_score': 0.33, 'punctuality_score': 1, 'friendliness_score': 0, 'comfortibility_score': 5.33}",30,5.33,comfortibility_score,5,18:35.7
5da52c7bf528678ac26489c2,5d94263ca9cf770a818cb882,5,4,2,3,2,"{'chatty_score': 0.1, 'safety_score': 0, 'punctuality_score': 0, 'friendliness_score': 8.33, 'comfortibility_score': 0}",20,8.33,friendliness_score,4,18:35.8
