_id,max_variance,UTT,chatty_score,safety_score,punctuality_score,friendliness_score,comfortibility_score,giving_feedback_classifier_int
5dce10a521697e035c3c5b31,4.5,10,3,3,2,5,2,2
5dce10a521697e035c3c5b32,2.0,30,2,2,4,2,2,3
5dce10a521697e035c3c5b33,12.5,30,2,4,5,1,2,2
5dce10a521697e035c3c5b34,4.44,15,4,5,5,1,4,4
5dce10a521697e035c3c5b35,8.33,30,1,4,4,5,4,1
5dce10a521697e035c3c5b36,8.33,10,3,1,1,4,1,3
5dce10a521697e035c3c5b37,6.33,30,2,1,3,5,5,3
5dce10a521697e035c3c5b38,4.15,10,3,2,4,5,1,5
5dce10a521697e035c3c5b39,5.33,30,4,2,3,4,4,5
5dce10a521697e035c3c5b3a,8.33,20,5,4,2,3,2,4
5dce10a521697e035c3c5b3b,8.33,10,5,2,3,2,4,3
5dce10a521697e035c3c5b3c,4.67,25,5,3,1,4,4,5
5dce10a521697e035c3c5b3d,8.33,30,3,2,3,1,2,2
5dce10a521697e035c3c5b3e,5.33,25,5,3,2,5,2,2
5dce10a521697e035c3c5b3f,8.33,10,5,3,2,1,1,2
5dce10a521697e035c3c5b40,1.33,30,4,1,3,4,3,1
5dce10a521697e035c3c5b41,12.5,30,2,3,4,3,2,1
5dce10a521697e035c3c5b42,2.0,10,2,1,5,5,3,3
5dce10a521697e035c3c5b43,4.5,10,1,3,5,5,1,2
5dce10a521697e035c3c5b44,1.33,30,3,4,2,3,5,2
5dce10a521697e035c3c5b45,5.33,20,1,2,3,2,5,5
5dce10a521697e035c3c5b46,8.33,30,1,5,5,1,4,1
5dce10a521697e035c3c5b47,8.33,10,5,5,5,2,2,5
5dce10a521697e035c3c5b48,12.5,30,1,4,2,3,5,1
5dce10a521697e035c3c5b49,4.5,20,4,2,2,4,5,4
5dce10a521697e035c3c5b4a,8.0,15,5,2,3,4,4,3
5dce10a521697e035c3c5b4b,1.33,30,2,4,1,2,2,3
5dce10a521697e035c3c5b4c,8.33,15,3,4,3,3,2,1
5dce10a521697e035c3c5b4d,4.33,15,4,4,5,4,3,5
5dce10a521697e035c3c5b4e,3.03,20,5,3,1,4,5,1
5dce10a521697e035c3c5b4f,3.0,30,2,5,3,5,3,1
5dce10a521697e035c3c5b50,6.33,30,4,5,3,2,4,1
5dce10a521697e035c3c5b51,3.0,20,5,3,2,5,1,3
5dce10a521697e035c3c5b52,4.12,30,3,1,5,2,5,1
5dce10a521697e035c3c5b53,4.33,30,5,5,3,3,5,1
5dce10a521697e035c3c5b54,3.0,20,5,3,4,2,3,4
5dce10a521697e035c3c5b55,6.33,15,4,1,1,2,1,4
5dce10a521697e035c3c5b56,4.17,10,4,2,5,3,5,4
5dce10a521697e035c3c5b57,8.33,30,4,4,3,3,3,1
5dce10a521697e035c3c5b58,3.0,30,5,2,3,5,2,5
5dce10a521697e035c3c5b59,6.33,15,5,5,4,4,5,3
5dce10a521697e035c3c5b5a,4.33,25,4,4,4,3,3,3
5dce10a521697e035c3c5b5b,5.33,30,2,1,3,4,1,2
5dce10a521697e035c3c5b5c,8.33,30,3,2,2,5,5,5
5dce10a521697e035c3c5b5d,5.33,20,3,3,1,5,5,4
5dce10a521697e035c3c5b5e,7.0,20,3,4,2,1,2,1
5dce10a521697e035c3c5b5f,4.5,30,1,3,4,1,3,1
5dce10a521697e035c3c5b60,12.5,25,3,3,5,5,1,1
5dce10a521697e035c3c5b61,5.07,25,4,2,3,4,4,1
5dce10a521697e035c3c5b62,8.33,30,5,1,2,3,1,4
5dce10a521697e035c3c5b63,7.0,15,5,4,5,1,2,2
5dce10a521697e035c3c5b64,8.33,10,3,4,5,5,2,1
5dce10a521697e035c3c5b65,8.33,25,5,5,3,1,5,1
5dce10a521697e035c3c5b66,12.5,30,1,3,2,2,2,3
5dce10a521697e035c3c5b67,12.5,25,1,5,5,4,5,5
5dce10a521697e035c3c5b68,4.67,15,2,2,5,3,2,2
5dce10a521697e035c3c5b69,12.5,30,3,1,2,3,1,4
5dce10a521697e035c3c5b6a,12.5,15,5,1,1,4,1,2
5dce10a521697e035c3c5b6b,12.5,30,5,5,3,2,2,3
5dce10a521697e035c3c5b6c,6.33,30,2,5,4,1,5,3
5dce10a521697e035c3c5b6d,4.0,25,1,5,4,4,5,3
5dce10a521697e035c3c5b6e,0.33,25,4,3,2,4,2,5
5dce10a521697e035c3c5b6f,8.33,30,1,3,5,3,2,3
5dce10a521697e035c3c5b70,8.0,30,3,2,1,3,3,2
5dce10a521697e035c3c5b71,12.5,25,5,3,4,5,3,3
5dce10a521697e035c3c5b72,3.47,10,5,5,2,2,5,2
5dce10a521697e035c3c5b73,3.0,30,3,3,4,3,1,1
5dce10a521697e035c3c5b74,8.33,20,3,1,4,3,2,3
5dce10a521697e035c3c5b75,4.33,15,1,3,5,3,2,1
5dce10a521697e035c3c5b76,4.27,15,5,2,1,4,2,5
5dce10a521697e035c3c5b77,0.5,30,4,3,1,4,4,2
5dce10a521697e035c3c5b78,8.0,20,3,1,2,5,1,1
5dce10a521697e035c3c5b79,8.0,15,5,2,1,2,3,5
5dce10a521697e035c3c5b7a,8.0,30,4,5,2,3,4,2
5dce10a521697e035c3c5b7b,12.5,15,1,3,5,3,1,1
5dce10a521697e035c3c5b7c,4.57,25,2,5,1,3,4,5
5dce10a521697e035c3c5b7d,4.5,30,2,2,3,5,3,5
5dce10a521697e035c3c5b7e,12.5,15,3,3,1,5,1,1
5dce10a521697e035c3c5b7f,6.25,20,4,3,2,1,5,3
5dce10a521697e035c3c5b80,4.5,30,2,1,5,4,2,2
5dce10a521697e035c3c5b81,12.5,10,2,1,3,1,2,1
5dce10a521697e035c3c5b82,6.25,10,5,5,3,2,4,3
5dce10a521697e035c3c5b83,8.0,30,3,2,5,4,5,3
5dce10a521697e035c3c5b84,2.0,10,2,4,3,4,1,2
5dce10a521697e035c3c5b85,4.93,10,2,4,3,3,2,4
5dce10a521697e035c3c5b86,3.0,30,5,2,2,5,4,1
5dce10a521697e035c3c5b87,3.0,20,4,2,2,5,1,2
5dce10a521697e035c3c5b88,3.0,20,5,5,1,3,2,4
5dce10a521697e035c3c5b89,4.17,15,1,3,2,5,4,2
5dce10a521697e035c3c5b8a,2.0,30,1,4,2,1,3,1
5dce10a521697e035c3c5b8b,12.5,15,4,5,3,4,1,5
5dce10a521697e035c3c5b8c,4.5,25,5,2,4,1,4,4
5dce10a521697e035c3c5b8d,8.0,30,3,3,1,2,5,2
5dce10a521697e035c3c5b8e,8.0,30,1,1,3,1,5,1
5dce10a521697e035c3c5b8f,12.5,25,2,3,5,3,3,3
5dce10a521697e035c3c5b90,7.0,30,4,2,3,3,3,1
5dce10a521697e035c3c5b91,4.0,25,4,2,5,1,5,3
5dce10a521697e035c3c5b92,7.0,25,3,3,5,1,1,5
5dce10a521697e035c3c5b93,4.52,30,5,5,1,1,3,3
5dce10a521697e035c3c5b94,8.0,30,2,1,1,1,3,5
5dce10a521697e035c3c5b95,8.0,20,1,3,3,3,4,1
5dce10a521697e035c3c5b96,3.37,10,4,1,5,5,4,3
5dce10a521697e035c3c5b97,8.33,30,4,2,2,1,2,2
5dce10a521697e035c3c5b98,8.33,20,4,3,4,2,2,1
5dce10a521697e035c3c5b99,5.33,20,4,3,4,2,1,2
5dce10a521697e035c3c5b9a,4.8,30,5,2,3,2,2,5
5dce10a521697e035c3c5b9b,12.5,30,3,4,5,2,4,1
5dce10a521697e035c3c5b9c,2.0,30,1,1,3,1,5,4
5dce10a521697e035c3c5b9d,4.18,20,1,3,5,2,4,1
5dce10a521697e035c3c5b9e,12.5,30,2,3,5,2,4,1
5dce10a521697e035c3c5b9f,12.5,30,2,4,5,1,3,2
5dce10a521697e035c3c5ba0,5.58,20,4,4,1,2,3,3
5dce10a521697e035c3c5ba1,12.5,30,1,2,5,4,3,1
5dce10a521697e035c3c5ba2,4.5,25,2,4,4,5,4,1
5dce10a521697e035c3c5ba3,12.5,15,3,1,2,5,5,5
5dce10a521697e035c3c5ba4,8.33,30,2,4,4,3,5,2
5dce10a521697e035c3c5ba5,6.33,10,2,2,3,3,4,2
5dce10a521697e035c3c5ba6,5.33,20,2,1,5,3,5,2
5dce10a521697e035c3c5ba7,8.33,20,3,3,3,1,5,2
5dce10a521697e035c3c5ba8,5.33,30,2,4,3,2,3,1
5dce10a521697e035c3c5ba9,7.0,15,2,4,5,2,4,4
5dce10a521697e035c3c5baa,8.33,10,1,3,2,5,4,4
5dce10a521697e035c3c5bab,1.33,25,1,3,5,2,2,1
5dce10a521697e035c3c5bac,4.33,30,2,5,5,1,3,1
5dce10a521697e035c3c5bad,8.33,20,4,5,3,1,5,1
5dce10a521697e035c3c5bae,1.33,10,4,4,5,4,3,1
5dce10a521697e035c3c5baf,8.33,15,5,4,4,4,3,1
5dce10a521697e035c3c5bb0,8.0,30,4,1,4,1,1,4
5dce10a521697e035c3c5bb1,8.0,25,3,2,1,1,1,5
5dce10a521697e035c3c5bb2,2.0,10,4,3,4,3,4,4
5dce10a521697e035c3c5bb3,12.5,30,2,4,5,1,3,2
5dce10a521697e035c3c5bb4,8.0,20,3,2,5,5,4,3
5dce10a521697e035c3c5bb5,12.5,30,4,3,4,2,4,4
5dce10a521697e035c3c5bb6,0.5,30,1,5,3,5,1,4
5dce10a521697e035c3c5bb7,8.0,25,1,2,2,2,1,2
5dce10a521697e035c3c5bb8,6.25,25,3,4,1,1,1,4
5dce10a521697e035c3c5bb9,8.33,30,5,2,2,2,5,2
5dce10a521697e035c3c5bba,5.33,20,3,2,1,5,2,1
5dce10a521697e035c3c5bbb,8.33,20,4,2,4,2,1,2
5dce10a521697e035c3c5bbc,3.0,30,3,1,3,5,4,1
5dce10a521697e035c3c5bbd,12.5,30,1,4,1,4,5,1
5dce10a521697e035c3c5bbe,12.5,30,4,3,4,3,5,3
5dce10a521697e035c3c5bbf,6.25,10,2,5,1,5,3,2
5dce10a521697e035c3c5bc0,12.5,30,4,1,5,2,4,1
5dce10a521697e035c3c5bc1,2.0,30,2,1,5,2,2,4
5dce10a521697e035c3c5bc2,4.41,20,3,4,1,4,1,3
5dce10a521697e035c3c5bc3,8.33,30,3,3,2,2,1,5
5dce10a521697e035c3c5bc4,5.33,20,5,5,3,5,2,2
5dce10a521697e035c3c5bc5,8.33,20,4,2,5,2,4,4
5dce10a521697e035c3c5bc6,4.69,30,3,4,3,4,2,4
5dce10a521697e035c3c5bc7,8.33,30,5,1,4,2,5,1
5dce10a521697e035c3c5bc8,7.0,30,4,2,5,2,3,2
5dce10a521697e035c3c5bc9,7.0,10,4,5,5,5,3,3
5dce10a521697e035c3c5bca,3.37,15,2,5,5,5,2,5
5dce10a521697e035c3c5bcb,8.0,30,4,3,5,2,5,3
5dce10a521697e035c3c5bcc,2.0,20,3,5,3,1,1,4
5dce10a521697e035c3c5bcd,8.0,15,5,5,2,4,3,2
5dce10a521697e035c3c5bce,4.5,30,4,1,3,3,2,1
5dce10a521697e035c3c5bcf,4.5,30,5,4,3,4,2,2
5dce10a521697e035c3c5bd0,5.36,30,1,5,5,1,5,4
5dce10a521697e035c3c5bd1,8.33,30,1,4,4,1,1,1
5dce10a521697e035c3c5bd2,8.33,25,2,4,1,4,3,3
5dce10a521697e035c3c5bd3,2.33,15,3,5,2,3,1,4
5dce10a521697e035c3c5bd4,4.33,15,2,5,2,5,2,2
5dce10a521697e035c3c5bd5,12.5,30,5,2,2,4,2,1
