_id,variance,UTT,chatty_score,safety_score,punctuality_score,friendliness_score,comfortibility_score,got_feedback_classifier_int
5dcdf3ae98af55aa79f8fbb2,50.65,30,3,1,1,2,3,5
5dcdf3ae98af55aa79f8fbb3,40.31,15,5,4,1,2,1,1
5dcdf3ae98af55aa79f8fbb4,41.65,10,4,4,5,4,3,2
5dcdf3ae98af55aa79f8fbb5,4.33,15,4,1,1,1,3,4
5dcdf3ae98af55aa79f8fbb6,3.66,30,5,3,3,2,1,3
5dcdf3ae98af55aa79f8fbb7,18.0,20,4,4,4,3,3,2
5dcdf3ae98af55aa79f8fbb8,44.31,25,5,3,2,2,1,2
5dcdf3ae98af55aa79f8fbb9,41.65,20,3,5,1,3,5,2
5dcdf3ae98af55aa79f8fbba,1.5,30,5,1,2,5,2,5
5dcdf3ae98af55aa79f8fbbb,63.0,25,5,1,1,5,4,5
5dcdf3ae98af55aa79f8fbbc,2.0,25,2,3,1,1,5,4
5dcdf3ae98af55aa79f8fbbd,0.5,30,1,3,5,1,5,1
5dcdf3ae98af55aa79f8fbbe,62.5,30,3,1,4,2,3,1
5dcdf3ae98af55aa79f8fbbf,4.5,15,3,2,1,2,4,3
5dcdf3ae98af55aa79f8fbc0,16.0,30,4,3,4,5,5,4
5dcdf3ae98af55aa79f8fbc1,26.32,30,4,4,2,3,1,2
5dcdf3ae98af55aa79f8fbc2,16.0,30,1,4,1,5,4,2
5dcdf3ae98af55aa79f8fbc3,44.0,10,5,1,5,5,2,5
5dcdf3ae98af55aa79f8fbc4,33.88,30,5,1,5,4,3,4
5dcdf3ae98af55aa79f8fbc5,15.64,20,5,2,4,3,4,1
5dcdf3ae98af55aa79f8fbc6,111.5,25,3,2,3,4,5,2
5dcdf3ae98af55aa79f8fbc7,5.6,30,2,3,4,1,4,4
5dcdf3ae98af55aa79f8fbc8,37.72,20,1,1,2,2,1,1
5dcdf3ae98af55aa79f8fbc9,41.65,10,5,3,5,3,1,3
5dcdf3ae98af55aa79f8fbca,73.3,20,5,2,1,5,5,1
5dcdf3ae98af55aa79f8fbcb,35.71,30,2,3,4,3,2,5
5dcdf3ae98af55aa79f8fbcc,11.13,25,5,2,4,4,2,5
5dcdf3ae98af55aa79f8fbcd,129.0,10,3,3,2,2,4,5
5dcdf3ae98af55aa79f8fbce,32.5,30,3,2,1,4,4,5
5dcdf3ae98af55aa79f8fbcf,0.5,10,3,1,4,3,2,4
5dcdf3ae98af55aa79f8fbd0,45.5,10,5,4,2,3,3,3
5dcdf3ae98af55aa79f8fbd1,31.25,30,5,2,2,3,1,2
5dcdf3ae98af55aa79f8fbd2,31.25,15,4,4,2,2,1,3
5dcdf3ae98af55aa79f8fbd3,62.5,20,1,4,3,1,2,1
5dcdf3ae98af55aa79f8fbd4,44.31,30,3,1,3,2,3,1
5dcdf3ae98af55aa79f8fbd5,44.31,25,4,1,3,1,4,2
5dcdf3ae98af55aa79f8fbd6,12.0,15,4,3,3,4,3,4
5dcdf3ae98af55aa79f8fbd7,44.31,15,1,3,2,2,1,2
5dcdf3ae98af55aa79f8fbd8,21.32,30,5,1,5,1,2,3
5dcdf3ae98af55aa79f8fbd9,76.65,15,5,3,2,2,2,2
5dcdf3ae98af55aa79f8fbda,48.98,30,3,2,1,2,3,2
5dcdf3ae98af55aa79f8fbdb,9.0,30,3,2,5,3,3,4
5dcdf3ae98af55aa79f8fbdc,72.5,30,5,2,1,1,5,2
5dcdf3ae98af55aa79f8fbdd,48.17,20,4,2,2,1,5,2
5dcdf3ae98af55aa79f8fbde,20.59,15,5,2,5,1,2,5
5dcdf3ae98af55aa79f8fbdf,48.64,10,5,1,1,3,3,5
5dcdf3ae98af55aa79f8fbe0,0.0,30,4,1,3,1,1,1
5dcdf3ae98af55aa79f8fbe1,62.5,30,4,5,4,4,4,1
5dcdf3ae98af55aa79f8fbe2,62.5,20,2,2,3,4,1,5
5dcdf3ae98af55aa79f8fbe3,52.85,30,2,5,3,4,4,3
5dcdf3ae98af55aa79f8fbe4,11.66,25,4,5,3,3,1,3
5dcdf3ae98af55aa79f8fbe5,9.0,15,5,5,5,5,3,1
5dcdf3ae98af55aa79f8fbe6,16.32,20,4,1,5,3,1,4
5dcdf3ae98af55aa79f8fbe7,32.0,30,5,3,1,1,3,2
5dcdf3ae98af55aa79f8fbe8,32.0,20,4,4,2,4,1,3
5dcdf3ae98af55aa79f8fbe9,32.5,15,5,5,3,5,2,3
5dcdf3ae98af55aa79f8fbea,5.67,30,2,4,5,3,4,1
5dcdf3ae98af55aa79f8fbeb,31.25,30,2,1,3,1,4,2
5dcdf3ae98af55aa79f8fbec,62.5,25,2,1,4,3,4,4
5dcdf3ae98af55aa79f8fbed,44.31,30,5,3,4,2,1,2
5dcdf3ae98af55aa79f8fbee,15.0,25,5,1,5,5,5,4
5dcdf3ae98af55aa79f8fbef,19.33,20,3,3,4,1,3,4
5dcdf3ae98af55aa79f8fbf0,23.98,15,2,2,5,2,2,2
5dcdf3ae98af55aa79f8fbf1,62.5,30,3,2,3,4,2,2
5dcdf3ae98af55aa79f8fbf2,32.0,25,1,5,4,3,2,4
5dcdf3ae98af55aa79f8fbf3,32.0,25,3,1,5,3,4,2
5dcdf3ae98af55aa79f8fbf4,41.65,30,5,2,2,2,1,5
5dcdf3ae98af55aa79f8fbf5,44.84,15,4,2,4,3,5,2
5dcdf3ae98af55aa79f8fbf6,44.57,20,5,4,4,2,1,4
5dcdf3ae98af55aa79f8fbf7,121.27,30,3,1,5,2,5,1
5dcdf3ae98af55aa79f8fbf8,58.97,30,3,5,3,5,4,4
5dcdf3ae98af55aa79f8fbf9,21.32,10,5,4,5,5,2,1
5dcdf3ae98af55aa79f8fbfa,2.99,10,1,2,3,5,3,2
5dcdf3ae98af55aa79f8fbfb,42.65,25,2,1,4,4,3,5
5dcdf3ae98af55aa79f8fbfc,62.5,30,3,4,4,2,4,5
5dcdf3ae98af55aa79f8fbfd,0.0,15,3,4,3,1,3,1
5dcdf3ae98af55aa79f8fbfe,62.5,15,2,4,5,4,4,2
5dcdf3ae98af55aa79f8fbff,14.0,30,3,1,2,1,5,4
5dcdf3ae98af55aa79f8fc00,13.5,25,2,4,5,1,5,5
5dcdf3ae98af55aa79f8fc01,6.0,15,2,5,3,1,3,1
5dcdf3ae98af55aa79f8fc02,32.0,30,3,1,2,5,4,4
5dcdf3ae98af55aa79f8fc03,33.5,30,2,4,2,3,2,1
5dcdf3ae98af55aa79f8fc04,62.5,10,1,4,1,4,5,1
5dcdf3ae98af55aa79f8fc05,44.31,30,2,5,1,3,5,3
5dcdf3ae98af55aa79f8fc06,41.65,20,1,4,3,1,4,3
5dcdf3ae98af55aa79f8fc07,41.98,30,1,4,1,5,3,4
5dcdf3ae98af55aa79f8fc08,41.65,15,4,1,2,3,1,2
5dcdf3ae98af55aa79f8fc09,44.75,30,3,5,3,2,2,3
5dcdf3ae98af55aa79f8fc0a,69.25,25,3,4,1,1,1,4
5dcdf3ae98af55aa79f8fc0b,62.5,10,2,3,2,2,3,4
5dcdf3ae98af55aa79f8fc0c,41.65,30,4,4,1,4,4,3
5dcdf3ae98af55aa79f8fc0d,27.64,15,4,2,2,5,3,5
5dcdf3ae98af55aa79f8fc0e,41.65,10,3,4,2,4,1,4
5dcdf3ae98af55aa79f8fc0f,21.32,25,2,3,2,5,2,4
5dcdf3ae98af55aa79f8fc10,5.16,30,1,5,4,4,1,5
5dcdf3ae98af55aa79f8fc11,6.99,15,4,4,3,2,3,1
5dcdf3ae98af55aa79f8fc12,41.65,25,1,4,2,5,1,5
5dcdf3ae98af55aa79f8fc13,65.96,20,1,5,5,4,2,5
5dcdf3ae98af55aa79f8fc14,31.65,30,4,3,3,1,1,1
5dcdf3ae98af55aa79f8fc15,43.98,30,5,4,3,2,4,4
5dcdf3ae98af55aa79f8fc16,57.65,10,5,2,5,2,5,5
5dcdf3ae98af55aa79f8fc17,41.65,15,4,1,2,1,2,3
5dcdf3ae98af55aa79f8fc18,73.3,30,4,2,4,5,4,3
5dcdf3ae98af55aa79f8fc19,26.32,25,3,3,3,5,2,2
5dcdf3ae98af55aa79f8fc1a,41.65,15,5,3,4,3,2,5
5dcdf3ae98af55aa79f8fc1b,41.65,15,3,2,3,1,2,5
5dcdf3ae98af55aa79f8fc1c,33.35,30,5,2,1,5,2,5
5dcdf3ae98af55aa79f8fc1d,21.32,30,5,1,2,5,4,5
5dcdf3ae98af55aa79f8fc1e,27.35,30,5,1,4,4,2,3
5dcdf3ae98af55aa79f8fc1f,41.99,10,5,1,3,2,4,4
5dcdf3ae98af55aa79f8fc20,83.3,30,3,3,5,2,1,5
5dcdf3ae98af55aa79f8fc21,42.31,30,3,4,5,1,2,4
5dcdf3ae98af55aa79f8fc22,24.39,20,3,5,5,2,2,3
5dcdf3ae98af55aa79f8fc23,117.61,25,4,1,5,3,5,1
5dcdf3ae98af55aa79f8fc24,43.98,30,5,2,3,4,4,1
5dcdf3ae98af55aa79f8fc25,31.65,10,5,4,4,3,2,1
5dcdf3ae98af55aa79f8fc26,21.32,25,5,5,5,1,2,5
5dcdf3ae98af55aa79f8fc27,19.65,30,3,3,4,4,2,1
5dcdf3ae98af55aa79f8fc28,21.32,30,5,1,2,3,2,1
5dcdf3ae98af55aa79f8fc29,21.32,30,3,5,4,4,2,1
5dcdf3ae98af55aa79f8fc2a,27.5,30,3,2,2,2,1,3
5dcdf3ae98af55aa79f8fc2b,47.3,15,4,4,3,2,4,1
5dcdf3ae98af55aa79f8fc2c,41.0,30,2,2,1,2,5,2
5dcdf3ae98af55aa79f8fc2d,32.0,15,5,4,5,3,4,3
5dcdf3ae98af55aa79f8fc2e,94.5,15,5,4,1,4,5,4
5dcdf3ae98af55aa79f8fc2f,62.5,30,4,1,3,4,4,4
5dcdf3ae98af55aa79f8fc30,62.5,30,5,2,4,1,5,4
5dcdf3ae98af55aa79f8fc31,0.5,25,4,5,4,5,3,3
5dcdf3ae98af55aa79f8fc32,6.0,30,1,1,1,5,4,5
5dcdf3ae98af55aa79f8fc33,0.5,30,1,3,3,4,3,4
5dcdf3ae98af55aa79f8fc34,138.5,10,4,2,5,2,3,3
5dcdf3ae98af55aa79f8fc35,40.0,30,3,3,4,3,2,2
5dcdf3ae98af55aa79f8fc36,1.0,25,1,2,3,1,1,4
5dcdf3ae98af55aa79f8fc37,40.0,15,4,1,4,5,5,2
5dcdf3ae98af55aa79f8fc38,60.64,30,2,2,1,1,5,4
5dcdf3ae98af55aa79f8fc39,39.65,30,3,3,4,3,5,3
5dcdf3ae98af55aa79f8fc3a,41.65,15,3,4,3,3,5,1
5dcdf3ae98af55aa79f8fc3b,189.26,20,2,5,4,3,2,4
5dcdf3ae98af55aa79f8fc3c,2.66,30,3,2,1,1,2,2
5dcdf3ae98af55aa79f8fc3d,62.97,30,4,2,3,2,4,1
5dcdf3ae98af55aa79f8fc3e,50.65,15,3,2,3,1,2,1
5dcdf3ae98af55aa79f8fc3f,21.32,15,5,2,2,3,5,4
5dcdf3ae98af55aa79f8fc40,13.5,30,1,5,4,3,5,3
5dcdf3ae98af55aa79f8fc41,13.5,30,1,4,2,3,4,5
5dcdf3ae98af55aa79f8fc42,32.0,10,5,2,2,4,4,2
5dcdf3ae98af55aa79f8fc43,62.5,30,3,5,3,5,1,3
5dcdf3ae98af55aa79f8fc44,3.6,25,3,5,1,4,1,4
5dcdf3ae98af55aa79f8fc45,62.5,30,5,2,5,3,3,2
5dcdf3ae98af55aa79f8fc46,8.5,30,5,3,4,2,5,5
5dcdf3ae98af55aa79f8fc47,76.0,15,5,5,3,4,4,2
5dcdf3ae98af55aa79f8fc48,32.0,20,4,2,4,2,5,3
5dcdf3ae98af55aa79f8fc49,32.0,30,4,3,2,1,2,3
5dcdf3ae98af55aa79f8fc4a,64.0,20,5,1,2,1,2,5
5dcdf3af98af55aa79f8fc4b,62.5,25,5,3,5,5,4,1
5dcdf3af98af55aa79f8fc4c,2.5,30,3,1,2,3,4,1
5dcdf3af98af55aa79f8fc4d,2.0,25,1,3,3,3,5,1
5dcdf3af98af55aa79f8fc4e,0.5,20,2,1,5,2,2,3
5dcdf3af98af55aa79f8fc4f,0.33,30,1,1,5,4,3,3
5dcdf3af98af55aa79f8fc50,54.64,15,1,4,5,3,3,2
5dcdf3af98af55aa79f8fc51,69.65,20,5,2,4,3,5,1
5dcdf3af98af55aa79f8fc52,35.0,30,2,2,4,1,4,1
5dcdf3af98af55aa79f8fc53,9.0,30,4,2,4,4,1,5
5dcdf3af98af55aa79f8fc54,62.97,30,3,2,5,1,2,2
5dcdf3af98af55aa79f8fc55,44.31,15,5,5,1,3,1,3
5dcdf3af98af55aa79f8fc56,56.65,30,5,4,2,2,5,4
5dcdf3af98af55aa79f8fc57,37.66,30,2,4,3,1,1,1
5dcdf3af98af55aa79f8fc58,21.32,30,5,3,3,1,2,3
5dcdf3af98af55aa79f8fc59,12.99,30,3,3,5,2,3,4
5dcdf3af98af55aa79f8fc5a,41.65,15,3,2,1,4,1,5
5dcdf3af98af55aa79f8fc5b,16.0,30,2,3,1,3,2,3
5dcdf3af98af55aa79f8fc5c,0.25,25,2,4,2,3,5,2
5dcdf3af98af55aa79f8fc5d,63.5,15,2,2,2,5,2,2
5dcdf3af98af55aa79f8fc5e,32.0,30,4,3,2,2,1,3
5dcdf3af98af55aa79f8fc5f,62.5,25,5,2,3,1,5,4
5dcdf3af98af55aa79f8fc60,14.0,10,2,3,2,3,4,3
5dcdf3af98af55aa79f8fc61,62.5,30,3,4,1,3,3,2
5dcdf3af98af55aa79f8fc62,62.5,10,1,2,2,1,2,2
5dcdf3af98af55aa79f8fc63,12.0,15,3,3,2,2,4,5
5dcdf3af98af55aa79f8fc64,62.5,30,4,5,5,4,4,5
5dcdf3af98af55aa79f8fc65,62.5,25,4,5,1,2,2,2
5dcdf3af98af55aa79f8fc66,62.5,10,3,1,4,2,5,1
5dcdf3af98af55aa79f8fc67,32.0,30,5,2,1,1,1,5
5dcdf3af98af55aa79f8fc68,33.35,15,4,3,4,2,4,2
5dcdf3af98af55aa79f8fc69,62.5,10,3,5,3,1,1,3
5dcdf3af98af55aa79f8fc6a,94.5,30,1,4,1,4,4,4
5dcdf3af98af55aa79f8fc6b,0.0,30,3,4,4,5,2,1
5dcdf3af98af55aa79f8fc6c,62.5,30,5,1,3,4,2,2
5dcdf3af98af55aa79f8fc6d,21.32,30,3,2,1,2,1,4
5dcdf3af98af55aa79f8fc6e,11.66,30,5,2,4,3,4,1
5dcdf3af98af55aa79f8fc6f,21.32,10,3,1,2,1,4,1
5dcdf3af98af55aa79f8fc70,41.65,30,2,5,5,2,1,1
5dcdf3af98af55aa79f8fc71,34.0,30,4,3,4,1,5,4
5dcdf3af98af55aa79f8fc72,5.61,20,5,2,5,3,3,2
5dcdf3af98af55aa79f8fc73,62.5,15,5,1,3,3,4,5
5dcdf3af98af55aa79f8fc74,28.0,30,3,4,2,4,4,3
5dcdf3af98af55aa79f8fc75,21.32,25,3,5,1,5,3,4
5dcdf3af98af55aa79f8fc76,22.32,15,1,4,4,1,2,1
5dcdf3af98af55aa79f8fc77,44.31,25,1,5,4,4,1,4
5dcdf3af98af55aa79f8fc78,34.64,30,5,1,2,5,3,1
5dcdf3af98af55aa79f8fc79,42.9,15,5,3,2,4,1,2
5dcdf3af98af55aa79f8fc7a,23.82,10,2,1,2,2,3,2
5dcdf3af98af55aa79f8fc7b,93.96,20,3,3,2,2,5,5
5dcdf3af98af55aa79f8fc7c,21.32,30,3,5,1,5,2,1
5dcdf3af98af55aa79f8fc7d,31.65,20,2,5,2,3,5,2
5dcdf3af98af55aa79f8fc7e,39.66,10,1,5,5,4,5,3
5dcdf3af98af55aa79f8fc7f,34.99,15,1,4,4,5,4,3
5dcdf3af98af55aa79f8fc80,28.82,30,2,5,4,2,1,4
5dcdf3af98af55aa79f8fc81,8.01,25,3,4,2,1,2,1
5dcdf3af98af55aa79f8fc82,94.5,20,5,1,5,1,1,5
5dcdf3af98af55aa79f8fc83,12.0,30,3,1,5,1,1,1
5dcdf3af98af55aa79f8fc84,21.32,15,3,3,5,4,5,3
5dcdf3af98af55aa79f8fc85,21.99,15,1,2,5,1,5,3
5dcdf3af98af55aa79f8fc86,114.96,15,1,3,1,5,4,2
5dcdf3af98af55aa79f8fc87,66.5,30,1,1,2,3,4,4
5dcdf3af98af55aa79f8fc88,4.0,25,2,2,4,4,4,5
5dcdf3af98af55aa79f8fc89,4.0,25,2,3,1,4,5,4
5dcdf3af98af55aa79f8fc8a,0.0,30,4,2,3,4,3,1
5dcdf3af98af55aa79f8fc8b,32.0,10,4,1,1,5,1,2
5dcdf3af98af55aa79f8fc8c,17.5,20,5,1,5,1,3,1
5dcdf3af98af55aa79f8fc8d,32.0,30,3,2,3,3,5,2
5dcdf3af98af55aa79f8fc8e,43.2,20,4,3,4,4,5,3
5dcdf3af98af55aa79f8fc8f,94.5,15,4,4,2,4,1,2
5dcdf3af98af55aa79f8fc90,13.5,30,1,2,2,4,5,3
5dcdf3af98af55aa79f8fc91,32.3,20,3,1,3,2,4,1
5dcdf3af98af55aa79f8fc92,13.5,15,3,4,5,1,2,5
5dcdf3af98af55aa79f8fc93,48.16,30,2,4,4,2,5,1
5dcdf3af98af55aa79f8fc94,55.13,25,1,2,2,5,4,4
5dcdf3af98af55aa79f8fc95,25.02,30,5,3,5,5,4,4
5dcdf3af98af55aa79f8fc96,74.29,15,3,4,2,3,5,1
