_id,total_riders_checked,total_rider_match_count,Total_Riders_In_Pool,exact_match_count,diff_match_count,for_riders,matching_rate,average_rider_waiting_time,total_drivers,UTT,tripQs,trip_start_time,trip_end_time,trip_diff(secs),trip_diff(mins)
5d942d35eea828feb7c073f5,202,42,42,37,0,200,0.21,0.26,14,10,"[ObjectId('5d9429b1eea828feb7c072e9'), ObjectId('5d9429e6eea828feb7c072f7'), ObjectId('5d942aa1eea828feb7c0730d'), ObjectId('5d942ab2eea828feb7c07323'), ObjectId('5d942b12eea828feb7c07331'), ObjectId('5d942bdaeea828feb7c07347'), ObjectId('5d942bebeea828feb7c0735d'), ObjectId('5d942bf8eea828feb7c07373'), ObjectId('5d942c41eea828feb7c07389'), ObjectId('5d942c4ceea828feb7c0739f'), ObjectId('5d942c6beea828feb7c073ad'), ObjectId('5d942cb2eea828feb7c073c3'), ObjectId('5d942ccdeea828feb7c073d1'), ObjectId('5d942d31eea828feb7c073df')]",2019-10-02 00:36:58,2019-10-02 00:53:09,971.331343,16.19
5d94309eeea828feb7c07510,201,45,45,39,0,200,0.225,0.24,15,10,"[ObjectId('5d9429b1eea828feb7c072e9'), ObjectId('5d9429e6eea828feb7c072f7'), ObjectId('5d942aa1eea828feb7c0730d'), ObjectId('5d942ab2eea828feb7c07323'), ObjectId('5d942b12eea828feb7c07331'), ObjectId('5d942bdaeea828feb7c07347'), ObjectId('5d942bebeea828feb7c0735d'), ObjectId('5d942bf8eea828feb7c07373'), ObjectId('5d942c41eea828feb7c07389'), ObjectId('5d942c4ceea828feb7c0739f'), ObjectId('5d942c6beea828feb7c073ad'), ObjectId('5d942cb2eea828feb7c073c3'), ObjectId('5d942ccdeea828feb7c073d1'), ObjectId('5d942d31eea828feb7c073df'), ObjectId('5d942d44eea828feb7c073f6'), ObjectId('5d942d82eea828feb7c0740c'), ObjectId('5d942de9eea828feb7c0741a'), ObjectId('5d942e45eea828feb7c07430'), ObjectId('5d942e4ceea828feb7c0743e'), ObjectId('5d942ebaeea828feb7c0744c'), ObjectId('5d942eedeea828feb7c0745a'), ObjectId('5d942f4eeea828feb7c07470'), ObjectId('5d942f61eea828feb7c07486'), ObjectId('5d942f7eeea828feb7c0749c'), ObjectId('5d942fa9eea828feb7c074b2'), ObjectId('5d942fe2eea828feb7c074c0'), ObjectId('5d943026eea828feb7c074d6'), ObjectId('5d943046eea828feb7c074e4'), ObjectId('5d943099eea828feb7c074fa')]",2019-10-02 00:53:09,2019-10-02 01:07:42,872.66795,14.54
5d943379eea828feb7c0765d,224,54,54,46,0,200,0.27,0.17,18,10,"[ObjectId('5d9429b1eea828feb7c072e9'), ObjectId('5d9429e6eea828feb7c072f7'), ObjectId('5d942aa1eea828feb7c0730d'), ObjectId('5d942ab2eea828feb7c07323'), ObjectId('5d942b12eea828feb7c07331'), ObjectId('5d942bdaeea828feb7c07347'), ObjectId('5d942bebeea828feb7c0735d'), ObjectId('5d942bf8eea828feb7c07373'), ObjectId('5d942c41eea828feb7c07389'), ObjectId('5d942c4ceea828feb7c0739f'), ObjectId('5d942c6beea828feb7c073ad'), ObjectId('5d942cb2eea828feb7c073c3'), ObjectId('5d942ccdeea828feb7c073d1'), ObjectId('5d942d31eea828feb7c073df'), ObjectId('5d942d44eea828feb7c073f6'), ObjectId('5d942d82eea828feb7c0740c'), ObjectId('5d942de9eea828feb7c0741a'), ObjectId('5d942e45eea828feb7c07430'), ObjectId('5d942e4ceea828feb7c0743e'), ObjectId('5d942ebaeea828feb7c0744c'), ObjectId('5d942eedeea828feb7c0745a'), ObjectId('5d942f4eeea828feb7c07470'), ObjectId('5d942f61eea828feb7c07486'), ObjectId('5d942f7eeea828feb7c0749c'), ObjectId('5d942fa9eea828feb7c074b2'), ObjectId('5d942fe2eea828feb7c074c0'), ObjectId('5d943026eea828feb7c074d6'), ObjectId('5d943046eea828feb7c074e4'), ObjectId('5d943099eea828feb7c074fa'), ObjectId('5d943108eea828feb7c07511'), ObjectId('5d943121eea828feb7c07527'), ObjectId('5d94313deea828feb7c07535'), ObjectId('5d943160eea828feb7c07543'), ObjectId('5d9431a0eea828feb7c07551'), ObjectId('5d94320beea828feb7c07567'), ObjectId('5d943233eea828feb7c07575'), ObjectId('5d943243eea828feb7c0758b'), ObjectId('5d943259eea828feb7c075a1'), ObjectId('5d94328aeea828feb7c075af'), ObjectId('5d9432a0eea828feb7c075c5'), ObjectId('5d9432b5eea828feb7c075d3'), ObjectId('5d9432deeea828feb7c075e9'), ObjectId('5d9432e5eea828feb7c075ff'), ObjectId('5d943310eea828feb7c0760d'), ObjectId('5d943320eea828feb7c07623'), ObjectId('5d943355eea828feb7c07631'), ObjectId('5d943375eea828feb7c07647')]",2019-10-02 01:07:42,2019-10-02 01:19:53,730.748921,12.18
5d943667eea828feb7c0779a,204,54,54,44,0,200,0.27,0.16,18,10,"[ObjectId('5d9429b1eea828feb7c072e9'), ObjectId('5d9429e6eea828feb7c072f7'), ObjectId('5d942aa1eea828feb7c0730d'), ObjectId('5d942ab2eea828feb7c07323'), ObjectId('5d942b12eea828feb7c07331'), ObjectId('5d942bdaeea828feb7c07347'), ObjectId('5d942bebeea828feb7c0735d'), ObjectId('5d942bf8eea828feb7c07373'), ObjectId('5d942c41eea828feb7c07389'), ObjectId('5d942c4ceea828feb7c0739f'), ObjectId('5d942c6beea828feb7c073ad'), ObjectId('5d942cb2eea828feb7c073c3'), ObjectId('5d942ccdeea828feb7c073d1'), ObjectId('5d942d31eea828feb7c073df'), ObjectId('5d942d44eea828feb7c073f6'), ObjectId('5d942d82eea828feb7c0740c'), ObjectId('5d942de9eea828feb7c0741a'), ObjectId('5d942e45eea828feb7c07430'), ObjectId('5d942e4ceea828feb7c0743e'), ObjectId('5d942ebaeea828feb7c0744c'), ObjectId('5d942eedeea828feb7c0745a'), ObjectId('5d942f4eeea828feb7c07470'), ObjectId('5d942f61eea828feb7c07486'), ObjectId('5d942f7eeea828feb7c0749c'), ObjectId('5d942fa9eea828feb7c074b2'), ObjectId('5d942fe2eea828feb7c074c0'), ObjectId('5d943026eea828feb7c074d6'), ObjectId('5d943046eea828feb7c074e4'), ObjectId('5d943099eea828feb7c074fa'), ObjectId('5d943108eea828feb7c07511'), ObjectId('5d943121eea828feb7c07527'), ObjectId('5d94313deea828feb7c07535'), ObjectId('5d943160eea828feb7c07543'), ObjectId('5d9431a0eea828feb7c07551'), ObjectId('5d94320beea828feb7c07567'), ObjectId('5d943233eea828feb7c07575'), ObjectId('5d943243eea828feb7c0758b'), ObjectId('5d943259eea828feb7c075a1'), ObjectId('5d94328aeea828feb7c075af'), ObjectId('5d9432a0eea828feb7c075c5'), ObjectId('5d9432b5eea828feb7c075d3'), ObjectId('5d9432deeea828feb7c075e9'), ObjectId('5d9432e5eea828feb7c075ff'), ObjectId('5d943310eea828feb7c0760d'), ObjectId('5d943320eea828feb7c07623'), ObjectId('5d943355eea828feb7c07631'), ObjectId('5d943375eea828feb7c07647'), ObjectId('5d94338beea828feb7c0765e'), ObjectId('5d9433adeea828feb7c0766c'), ObjectId('5d9433d0eea828feb7c07682'), ObjectId('5d9433f5eea828feb7c07690'), ObjectId('5d94340eeea828feb7c0769e'), ObjectId('5d943451eea828feb7c076b4'), ObjectId('5d94345beea828feb7c076ca'), ObjectId('5d943480eea828feb7c076d8'), ObjectId('5d94349deea828feb7c076e6'), ObjectId('5d9434a6eea828feb7c076f4'), ObjectId('5d9434ebeea828feb7c07702'), ObjectId('5d94355aeea828feb7c07718'), ObjectId('5d943599eea828feb7c0772e'), ObjectId('5d9435ceeea828feb7c07744'), ObjectId('5d943611eea828feb7c0775a'), ObjectId('5d94362deea828feb7c07768'), ObjectId('5d943653eea828feb7c07776'), ObjectId('5d943665eea828feb7c0778c')]",2019-10-02 01:19:53,2019-10-02 01:32:23,750.728111,12.51
5d9447cba4e8e3def32f3e7f,208,54,54,42,0,200,0.27,0.14,18,15,"[ObjectId('5d944591a4e8e3def32f3d53'), ObjectId('5d9445a3a4e8e3def32f3d61'), ObjectId('5d9445eaa4e8e3def32f3d6f'), ObjectId('5d9445fca4e8e3def32f3d85'), ObjectId('5d944623a4e8e3def32f3d93'), ObjectId('5d94464ba4e8e3def32f3da1'), ObjectId('5d944679a4e8e3def32f3daf'), ObjectId('5d944698a4e8e3def32f3dc5'), ObjectId('5d9446a4a4e8e3def32f3dd3'), ObjectId('5d9446b0a4e8e3def32f3de1'), ObjectId('5d9446e0a4e8e3def32f3def'), ObjectId('5d944705a4e8e3def32f3e05'), ObjectId('5d944714a4e8e3def32f3e13'), ObjectId('5d944758a4e8e3def32f3e21'), ObjectId('5d944777a4e8e3def32f3e37'), ObjectId('5d944783a4e8e3def32f3e45'), ObjectId('5d944795a4e8e3def32f3e5b'), ObjectId('5d9447c8a4e8e3def32f3e69')]",2019-10-02 02:36:43,2019-10-02 02:46:35,591.609791,9.86
5d9449d3bce6453b2b96baed,204,12,12,9,0,200,0.06,1.41,4,10,"[ObjectId('5d94468cbce6453b2b96baa5'), ObjectId('5d944698bce6453b2b96babb'), ObjectId('5d9446adbce6453b2b96bac9'), ObjectId('5d9449d1bce6453b2b96badf')]",2019-10-02 02:36:23,2019-10-02 02:55:15,1132.087976,18.87
5d944a24a4e8e3def32f3fe6,209,63,63,50,0,200,0.315,0.13,21,15,"[ObjectId('5d944591a4e8e3def32f3d53'), ObjectId('5d9445a3a4e8e3def32f3d61'), ObjectId('5d9445eaa4e8e3def32f3d6f'), ObjectId('5d9445fca4e8e3def32f3d85'), ObjectId('5d944623a4e8e3def32f3d93'), ObjectId('5d94464ba4e8e3def32f3da1'), ObjectId('5d944679a4e8e3def32f3daf'), ObjectId('5d944698a4e8e3def32f3dc5'), ObjectId('5d9446a4a4e8e3def32f3dd3'), ObjectId('5d9446b0a4e8e3def32f3de1'), ObjectId('5d9446e0a4e8e3def32f3def'), ObjectId('5d944705a4e8e3def32f3e05'), ObjectId('5d944714a4e8e3def32f3e13'), ObjectId('5d944758a4e8e3def32f3e21'), ObjectId('5d944777a4e8e3def32f3e37'), ObjectId('5d944783a4e8e3def32f3e45'), ObjectId('5d944795a4e8e3def32f3e5b'), ObjectId('5d9447c8a4e8e3def32f3e69'), ObjectId('5d9447f3a4e8e3def32f3e80'), ObjectId('5d944804a4e8e3def32f3e96'), ObjectId('5d94482ba4e8e3def32f3eac'), ObjectId('5d944845a4e8e3def32f3eba'), ObjectId('5d944858a4e8e3def32f3ec8'), ObjectId('5d944865a4e8e3def32f3ed6'), ObjectId('5d94488da4e8e3def32f3eec'), ObjectId('5d9448c6a4e8e3def32f3efa'), ObjectId('5d9448daa4e8e3def32f3f10'), ObjectId('5d9448f0a4e8e3def32f3f1e'), ObjectId('5d94490ea4e8e3def32f3f34'), ObjectId('5d94491da4e8e3def32f3f42'), ObjectId('5d94495da4e8e3def32f3f58'), ObjectId('5d944968a4e8e3def32f3f6e'), ObjectId('5d944987a4e8e3def32f3f7c'), ObjectId('5d9449a9a4e8e3def32f3f92'), ObjectId('5d9449b0a4e8e3def32f3fa0'), ObjectId('5d9449d0a4e8e3def32f3fae'), ObjectId('5d944a0ba4e8e3def32f3fbc'), ObjectId('5d944a11a4e8e3def32f3fca'), ObjectId('5d944a22a4e8e3def32f3fd8')]",2019-10-02 02:46:35,2019-10-02 02:56:36,601.497339,10.02
5d94e792dfe90b9e046abfa8,201,45,45,36,1,200,0.225,0.39,15,15,"[ObjectId('5d94e170dfe90b9e046abea6'), ObjectId('5d94e1b8dfe90b9e046abeb4'), ObjectId('5d94e1d5dfe90b9e046abeca'), ObjectId('5d94e1f2dfe90b9e046abed8'), ObjectId('5d94e25adfe90b9e046abee6'), ObjectId('5d94e26ddfe90b9e046abefc'), ObjectId('5d94e277dfe90b9e046abf0a'), ObjectId('5d94e2a4dfe90b9e046abf18'), ObjectId('5d94e2e9dfe90b9e046abf26'), ObjectId('5d94e30cdfe90b9e046abf3c'), ObjectId('5d94e34bdfe90b9e046abf52'), ObjectId('5d94e354dfe90b9e046abf68'), ObjectId('5d94e39fdfe90b9e046abf76'), ObjectId('5d94e766dfe90b9e046abf8c'), ObjectId('5d94e78edfe90b9e046abf9a')]",2019-10-02 13:41:33,2019-10-02 14:08:18,1604.705711,26.75
5d94e80ceec59b028bce80a5,210,75,75,58,0,200,0.375,0.13,25,20,"[ObjectId('5d94e4beeec59b028bce7f07'), ObjectId('5d94e4cceec59b028bce7f15'), ObjectId('5d94e502eec59b028bce7f2b'), ObjectId('5d94e519eec59b028bce7f41'), ObjectId('5d94e531eec59b028bce7f57'), ObjectId('5d94e547eec59b028bce7f65'), ObjectId('5d94e55feec59b028bce7f73'), ObjectId('5d94e570eec59b028bce7f81'), ObjectId('5d94e5b2eec59b028bce7f8f'), ObjectId('5d94e5daeec59b028bce7f9d'), ObjectId('5d94e5f3eec59b028bce7fab'), ObjectId('5d94e665eec59b028bce7fb9'), ObjectId('5d94e67eeec59b028bce7fcf'), ObjectId('5d94e6a2eec59b028bce7fdd'), ObjectId('5d94e6b6eec59b028bce7feb'), ObjectId('5d94e6d1eec59b028bce8001'), ObjectId('5d94e6e6eec59b028bce800f'), ObjectId('5d94e719eec59b028bce801d'), ObjectId('5d94e72aeec59b028bce802b'), ObjectId('5d94e73ceec59b028bce8039'), ObjectId('5d94e756eec59b028bce8047'), ObjectId('5d94e7c6eec59b028bce805d'), ObjectId('5d94e7d1eec59b028bce8073'), ObjectId('5d94e7daeec59b028bce8081'), ObjectId('5d94e807eec59b028bce808f')]",2019-10-02 13:56:04,2019-10-02 14:10:20,856.441811,14.27
5d94eab2dfe90b9e046ac0a5,200,42,42,35,0,200,0.21,0.22,14,15,"[ObjectId('5d94e170dfe90b9e046abea6'), ObjectId('5d94e1b8dfe90b9e046abeb4'), ObjectId('5d94e1d5dfe90b9e046abeca'), ObjectId('5d94e1f2dfe90b9e046abed8'), ObjectId('5d94e25adfe90b9e046abee6'), ObjectId('5d94e26ddfe90b9e046abefc'), ObjectId('5d94e277dfe90b9e046abf0a'), ObjectId('5d94e2a4dfe90b9e046abf18'), ObjectId('5d94e2e9dfe90b9e046abf26'), ObjectId('5d94e30cdfe90b9e046abf3c'), ObjectId('5d94e34bdfe90b9e046abf52'), ObjectId('5d94e354dfe90b9e046abf68'), ObjectId('5d94e39fdfe90b9e046abf76'), ObjectId('5d94e766dfe90b9e046abf8c'), ObjectId('5d94e78edfe90b9e046abf9a'), ObjectId('5d94e7a2dfe90b9e046abfa9'), ObjectId('5d94e7acdfe90b9e046abfb7'), ObjectId('5d94e80cdfe90b9e046abfc5'), ObjectId('5d94e858dfe90b9e046abfdb'), ObjectId('5d94e8a6dfe90b9e046abff1'), ObjectId('5d94e8b3dfe90b9e046ac007'), ObjectId('5d94e8c9dfe90b9e046ac015'), ObjectId('5d94e8e8dfe90b9e046ac023'), ObjectId('5d94e905dfe90b9e046ac039'), ObjectId('5d94e92cdfe90b9e046ac047'), ObjectId('5d94ea40dfe90b9e046ac055'), ObjectId('5d94ea57dfe90b9e046ac06b'), ObjectId('5d94ea85dfe90b9e046ac079'), ObjectId('5d94eaacdfe90b9e046ac08f')]",2019-10-02 14:08:18,2019-10-02 14:21:38,800.632196,13.34
