_id,feedback_type,user_who_is_rating_Mongoid,user_who_is_rating_id,user_getting_rated_Mongoid,user_getting_rated_id,trip_id,chatty_rating,safety_rating,punctuality_rating,friendliness_rating,comfort_rating,average_rating,feedback_given_classifier,feedback_given_classifier_to_int,time_stamp,chatty_score,safety_score,punctuality_score,friendliness_score,comfortibility_score,driver_rating,UTT
5d844c9b9b32337d83ea1236,rider_to_rider,5d844a49a51ea3e5d3515aae,9111,5d844a4aa51ea3e5d3515c66,9551,5d844c9a9b32337d83ea1234,3,2,3,5,5,3.6,friendliness_score,4,2019-09-19 23:50:51,,,,,,,
5d844c9b9b32337d83ea1237,rider_to_driver,5d844a49a51ea3e5d3515aae,9111,5d844b5da51ea3e5d352c17c,100965,5d844c9a9b32337d83ea1234,5,3,2,2,3,3.0,chatty_score,1,2019-09-19 23:50:51,4.0,4.0,5.0,2.0,2.0,4.0,
5d844c9b9b32337d83ea1238,rider_to_rider,5d844a4aa51ea3e5d3515c66,9551,5d844a49a51ea3e5d3515aae,9111,5d844c9a9b32337d83ea1234,2,4,2,4,5,3.4,comfortibility_score,5,2019-09-19 23:50:51,,,,,,,
5d844c9b9b32337d83ea1239,rider_to_driver,5d844a4aa51ea3e5d3515c66,9551,5d844b5da51ea3e5d352c17c,100965,5d844c9a9b32337d83ea1234,3,3,5,2,5,3.6,punctuality_score,3,2019-09-19 23:50:51,2.0,1.0,3.0,2.0,1.0,3.0,
5d844c9b9b32337d83ea123a,driver_to_rider,5d844b5da51ea3e5d352c17c,100965,5d844a49a51ea3e5d3515aae,9111,5d844c9a9b32337d83ea1234,2,3,5,3,2,3.0,punctuality_score,3,2019-09-19 23:50:51,,,,,,,
5d844c9b9b32337d83ea123b,driver_to_rider,5d844b5da51ea3e5d352c17c,100965,5d844a4aa51ea3e5d3515c66,9551,5d844c9a9b32337d83ea1234,4,5,5,5,5,4.8,safety_score,2,2019-09-19 23:50:51,,,,,,,
5d844cd09b32337d83ea123e,rider_to_rider,5d844b0ca51ea3e5d3525a02,74475,5d844a7ea51ea3e5d351ad5b,30276,5d844cd09b32337d83ea123c,2,3,4,5,3,3.4,friendliness_score,4,2019-09-19 23:51:44,,,,,,,
5d844cd09b32337d83ea123f,rider_to_rider,5d844b0ca51ea3e5d3525a02,74475,5d844b0ca51ea3e5d35259f9,74466,5d844cd09b32337d83ea123c,3,2,3,4,2,2.8,friendliness_score,4,2019-09-19 23:51:44,,,,,,,
5d844cd09b32337d83ea1240,rider_to_driver,5d844b0ca51ea3e5d3525a02,74475,5d844b5fa51ea3e5d352c420,101641,5d844cd09b32337d83ea123c,3,4,3,5,4,3.8,friendliness_score,4,2019-09-19 23:51:44,1.0,2.0,2.0,5.0,4.0,2.0,
5d844cd09b32337d83ea1241,rider_to_rider,5d844a7ea51ea3e5d351ad5b,30276,5d844b0ca51ea3e5d3525a02,74475,5d844cd09b32337d83ea123c,5,3,3,2,5,3.6,chatty_score,1,2019-09-19 23:51:44,,,,,,,
5d844cd09b32337d83ea1242,rider_to_rider,5d844a7ea51ea3e5d351ad5b,30276,5d844b0ca51ea3e5d35259f9,74466,5d844cd09b32337d83ea123c,2,5,3,3,4,3.4,safety_score,2,2019-09-19 23:51:44,,,,,,,
5d844cd09b32337d83ea1243,rider_to_driver,5d844a7ea51ea3e5d351ad5b,30276,5d844b5fa51ea3e5d352c420,101641,5d844cd09b32337d83ea123c,2,2,2,2,5,2.6,comfortibility_score,5,2019-09-19 23:51:44,2.0,2.0,5.0,3.0,5.0,3.0,
5d844cd09b32337d83ea1244,rider_to_rider,5d844b0ca51ea3e5d35259f9,74466,5d844b0ca51ea3e5d3525a02,74475,5d844cd09b32337d83ea123c,2,3,2,4,2,2.6,friendliness_score,4,2019-09-19 23:51:44,,,,,,,
5d844cd09b32337d83ea1245,rider_to_rider,5d844b0ca51ea3e5d35259f9,74466,5d844a7ea51ea3e5d351ad5b,30276,5d844cd09b32337d83ea123c,4,5,2,3,4,3.6,safety_score,2,2019-09-19 23:51:44,,,,,,,
5d844cd09b32337d83ea1246,rider_to_driver,5d844b0ca51ea3e5d35259f9,74466,5d844b5fa51ea3e5d352c420,101641,5d844cd09b32337d83ea123c,5,4,4,2,2,3.4,chatty_score,1,2019-09-19 23:51:44,1.0,4.0,4.0,5.0,5.0,3.0,
5d844cd09b32337d83ea1247,driver_to_rider,5d844b5fa51ea3e5d352c420,101641,5d844b0ca51ea3e5d3525a02,74475,5d844cd09b32337d83ea123c,3,4,4,5,3,3.8,friendliness_score,4,2019-09-19 23:51:44,,,,,,,
5d844cd09b32337d83ea1248,driver_to_rider,5d844b5fa51ea3e5d352c420,101641,5d844a7ea51ea3e5d351ad5b,30276,5d844cd09b32337d83ea123c,4,4,5,4,4,4.2,punctuality_score,3,2019-09-19 23:51:44,,,,,,,
5d844cd09b32337d83ea1249,driver_to_rider,5d844b5fa51ea3e5d352c420,101641,5d844b0ca51ea3e5d35259f9,74466,5d844cd09b32337d83ea123c,2,5,5,3,2,3.4,safety_score,2,2019-09-19 23:51:44,,,,,,,
5d844cf59b32337d83ea124c,rider_to_rider,5d844adea51ea3e5d3522094,59773,5d844a8da51ea3e5d351c12b,35348,5d844cf59b32337d83ea124a,2,3,4,2,2,2.6,punctuality_score,3,2019-09-19 23:52:21,,,,,,,
5d844cf59b32337d83ea124d,rider_to_rider,5d844adea51ea3e5d3522094,59773,5d844abfa51ea3e5d351faf6,50143,5d844cf59b32337d83ea124a,3,3,4,5,3,3.6,friendliness_score,4,2019-09-19 23:52:21,,,,,,,
5d844cf59b32337d83ea124e,rider_to_driver,5d844adea51ea3e5d3522094,59773,5d844b6ca51ea3e5d352d34c,105525,5d844cf59b32337d83ea124a,3,2,3,5,4,3.4,friendliness_score,4,2019-09-19 23:52:21,5.0,5.0,4.0,1.0,3.0,3.0,
5d844cf59b32337d83ea124f,rider_to_rider,5d844a8da51ea3e5d351c12b,35348,5d844adea51ea3e5d3522094,59773,5d844cf59b32337d83ea124a,4,5,5,5,3,4.4,safety_score,2,2019-09-19 23:52:21,,,,,,,
5d844cf59b32337d83ea1250,rider_to_rider,5d844a8da51ea3e5d351c12b,35348,5d844abfa51ea3e5d351faf6,50143,5d844cf59b32337d83ea124a,3,4,3,3,4,3.4,safety_score,2,2019-09-19 23:52:21,,,,,,,
5d844cf59b32337d83ea1251,rider_to_driver,5d844a8da51ea3e5d351c12b,35348,5d844b6ca51ea3e5d352d34c,105525,5d844cf59b32337d83ea124a,3,4,2,2,3,2.8,safety_score,2,2019-09-19 23:52:21,5.0,4.0,2.0,4.0,3.0,2.0,
5d844cf59b32337d83ea1252,rider_to_rider,5d844abfa51ea3e5d351faf6,50143,5d844adea51ea3e5d3522094,59773,5d844cf59b32337d83ea124a,3,4,4,5,5,4.2,friendliness_score,4,2019-09-19 23:52:21,,,,,,,
5d844cf59b32337d83ea1253,rider_to_rider,5d844abfa51ea3e5d351faf6,50143,5d844a8da51ea3e5d351c12b,35348,5d844cf59b32337d83ea124a,2,2,5,4,4,3.4,punctuality_score,3,2019-09-19 23:52:21,,,,,,,
5d844cf59b32337d83ea1254,rider_to_driver,5d844abfa51ea3e5d351faf6,50143,5d844b6ca51ea3e5d352d34c,105525,5d844cf59b32337d83ea124a,5,2,3,2,5,3.4,chatty_score,1,2019-09-19 23:52:21,4.0,2.0,2.0,3.0,5.0,2.0,
5d844cf59b32337d83ea1255,driver_to_rider,5d844b6ca51ea3e5d352d34c,105525,5d844adea51ea3e5d3522094,59773,5d844cf59b32337d83ea124a,2,5,3,5,4,3.8,safety_score,2,2019-09-19 23:52:21,,,,,,,
5d844cf59b32337d83ea1256,driver_to_rider,5d844b6ca51ea3e5d352d34c,105525,5d844a8da51ea3e5d351c12b,35348,5d844cf59b32337d83ea124a,3,4,2,2,5,3.2,comfortibility_score,5,2019-09-19 23:52:21,,,,,,,
5d844cf59b32337d83ea1257,driver_to_rider,5d844b6ca51ea3e5d352d34c,105525,5d844abfa51ea3e5d351faf6,50143,5d844cf59b32337d83ea124a,5,5,4,2,3,3.8,chatty_score,1,2019-09-19 23:52:21,,,,,,,
5d844d0b9b32337d83ea125a,rider_to_rider,5d844adba51ea3e5d3521c27,58640,5d844b09a51ea3e5d35256b6,73631,5d844d0b9b32337d83ea1258,3,2,5,5,4,3.8,punctuality_score,3,2019-09-19 23:52:43,,,,,,,
5d844d0b9b32337d83ea125b,rider_to_rider,5d844adba51ea3e5d3521c27,58640,5d844aeda51ea3e5d35235ec,65237,5d844d0b9b32337d83ea1258,3,4,5,5,4,4.2,punctuality_score,3,2019-09-19 23:52:43,,,,,,,
5d844d0b9b32337d83ea125c,rider_to_driver,5d844adba51ea3e5d3521c27,58640,5d844b68a51ea3e5d352cdd8,104129,5d844d0b9b32337d83ea1258,4,2,5,5,5,4.2,punctuality_score,3,2019-09-19 23:52:43,4.0,2.0,1.0,3.0,5.0,2.0,
5d844d0b9b32337d83ea125d,rider_to_rider,5d844b09a51ea3e5d35256b6,73631,5d844adba51ea3e5d3521c27,58640,5d844d0b9b32337d83ea1258,5,5,4,4,3,4.2,chatty_score,1,2019-09-19 23:52:43,,,,,,,
5d844d0b9b32337d83ea125e,rider_to_rider,5d844b09a51ea3e5d35256b6,73631,5d844aeda51ea3e5d35235ec,65237,5d844d0b9b32337d83ea1258,2,2,3,4,3,2.8,friendliness_score,4,2019-09-19 23:52:43,,,,,,,
5d844d0b9b32337d83ea125f,rider_to_driver,5d844b09a51ea3e5d35256b6,73631,5d844b68a51ea3e5d352cdd8,104129,5d844d0b9b32337d83ea1258,3,2,2,3,2,2.4,chatty_score,1,2019-09-19 23:52:43,2.0,1.0,1.0,2.0,3.0,4.0,
5d844d0b9b32337d83ea1260,rider_to_rider,5d844aeda51ea3e5d35235ec,65237,5d844adba51ea3e5d3521c27,58640,5d844d0b9b32337d83ea1258,3,5,3,2,2,3.0,safety_score,2,2019-09-19 23:52:43,,,,,,,
5d844d0b9b32337d83ea1261,rider_to_rider,5d844aeda51ea3e5d35235ec,65237,5d844b09a51ea3e5d35256b6,73631,5d844d0b9b32337d83ea1258,3,3,2,2,5,3.0,comfortibility_score,5,2019-09-19 23:52:43,,,,,,,
5d844d0b9b32337d83ea1262,rider_to_driver,5d844aeda51ea3e5d35235ec,65237,5d844b68a51ea3e5d352cdd8,104129,5d844d0b9b32337d83ea1258,3,5,3,4,2,3.4,safety_score,2,2019-09-19 23:52:43,1.0,5.0,3.0,4.0,5.0,3.0,
5d844d0b9b32337d83ea1263,driver_to_rider,5d844b68a51ea3e5d352cdd8,104129,5d844adba51ea3e5d3521c27,58640,5d844d0b9b32337d83ea1258,5,5,3,5,4,4.4,chatty_score,1,2019-09-19 23:52:43,,,,,,,
5d844d0b9b32337d83ea1264,driver_to_rider,5d844b68a51ea3e5d352cdd8,104129,5d844b09a51ea3e5d35256b6,73631,5d844d0b9b32337d83ea1258,2,5,5,4,5,4.2,safety_score,2,2019-09-19 23:52:43,,,,,,,
5d844d0b9b32337d83ea1265,driver_to_rider,5d844b68a51ea3e5d352cdd8,104129,5d844aeda51ea3e5d35235ec,65237,5d844d0b9b32337d83ea1258,5,3,3,2,4,3.4,chatty_score,1,2019-09-19 23:52:43,,,,,,,
5d844d129b32337d83ea1268,rider_to_rider,5d844ab8a51ea3e5d351f436,48415,5d844a6ea51ea3e5d35193e1,23754,5d844d129b32337d83ea1266,2,4,4,3,3,3.2,safety_score,2,2019-09-19 23:52:50,,,,,,,
